"vesselName","Month","Avg_Speed","Avg_Consumption","Avg_Draft"
"vessel01","2016-01",11.6091157344286,19.9817627559417,10.6716666666667
"vessel01","2016-02",11.3770872537049,21.7732010444185,10.3316666666667
"vessel01","2016-03",13.0230141705833,22.0471908262556,9.42692307692308
"vessel01","2016-04",12.6450318249575,21.8826505297829,9.88333333333333
"vessel01","2016-05",12.1552992391975,20.1721320585849,8.71666666666667
"vessel01","2016-06",11.9762450110184,21.3306465313939,9.56538461538462
"vessel01","2016-07",13.3406944099379,21.1452857808424,9.072
"vessel01","2016-08",12.7511265460556,20.3361449891686,8.97272727272727
"vessel01","2016-09",13.3383063352418,21.0087175089681,9.71111111111111
"vessel01","2016-10",12.7146904050228,19.845521358457,8.43461538461538
"vessel01","2016-11",13.4535759544231,19.5989091605421,8.35384615384615
"vessel01","2016-12",12.5134269678113,18.9090934223018,8.3625
"vessel01","2017-01",13.2081427345671,20.0538251522539,8.35454545454546
"vessel01","2017-02",13.1949194620916,21.7507666754662,8.18666666666667
"vessel01","2017-03",11.8518518518519,23.7659773917838,7.75
"vessel01","2017-05",12.7203355987286,19.7737121743013,8.5
"vessel01","2017-06",12.7239379105026,17.4283802832771,8.02833333333333
"vessel01","2017-07",12.8350530825887,20.093728763585,7.72
"vessel01","2017-08",12.7355877511841,20.0269568635355,8.35178571428571
"vessel01","2017-09",12.1319196517807,17.393494454563,7.84857142857143
"vessel01","2017-10",11.2278721888001,19.3704597432256,9.9125
"vessel01","2017-11",8.69859638711878,13.003682993352,9.04782608695652
"vessel01","2017-12",12.5089986871942,21.0189528429986,10.0825850340136
"vessel02","2016-01",13.0989634424448,31.7748596192263,8.72857142857143
"vessel02","2016-02",13.2725739262474,34.0239051844954,10.6
"vessel02","2016-03",11.7697143586865,23.8033372943527,7.46363636363636
"vessel02","2016-04",11.5264720420173,22.6228064770578,10.79
"vessel02","2016-05",10.6368463894926,23.7634543555151,9.11538461538461
"vessel02","2016-06",10.8939610885762,19.5490225452343,8.56842105263158
"vessel02","2016-07",13.6077266464271,27.0068422537752,8.775
"vessel02","2016-08",13.2644984779165,28.4182334087061,8.48333333333333
"vessel02","2016-09",13.1369587827995,26.3186189685994,8.75384615384615
"vessel02","2016-10",12.8765625892667,23.5425139331577,8.65
"vessel02","2016-11",13.1591877242611,24.2663912162657,8.88
"vessel02","2016-12",12.3589878903089,23.0236814112936,8.78181818181818
"vessel02","2017-01",13.1869045370767,22.8084087511982,8.45
"vessel02","2017-02",13.1104835478035,21.2557569616819,8.37272727272727
"vessel02","2017-03",13.4757492369109,23.4948771072322,8.16363636363636
"vessel02","2017-04",13.0401234567901,25.3721808657293,8.16666666666667
"vessel02","2017-05",13.0581753018446,23.8609216272758,8.51666666666667
"vessel02","2017-06",11.7398486463602,25.8116329880121,7.51666666666667
"vessel02","2017-07",11.3790077135342,23.4233524779032,7.9
"vessel02","2017-08",11.6533833291916,26.2185410769844,8.66666666666667
"vessel02","2017-09",9.83050847457627,13.1451402615973,7.2
"vessel02","2017-10",13.5433955210775,22.2894806761808,10.5105263157895
"vessel02","2017-11",12.4955297229396,18.9631959602211,8.69691358024691
"vessel02","2017-12",10.7813306699253,18.0116099572952,11.5055555555556
"vessel03","2016-03",12.2532103098477,28.1942459345392,10.15
"vessel03","2016-04",11.3842684659091,16.8242863397588,10.78125
"vessel03","2016-05",12.009472513896,24.7418915305338,7.02307692307692
"vessel03","2016-06",12.4406976910571,31.3449610337866,10.0315789473684
"vessel03","2016-07",12.6784486064033,30.1234806116597,10.1131578947368
"vessel03","2016-08",12.4235294117647,23.9792779642874,7.85
"vessel03","2016-09",11.560122861917,22.8559038941161,11.2724137931034
"vessel03","2016-10",12.2991897755938,21.4456774383819,9.78076923076923
"vessel03","2016-11",11.5714557645564,18.3556076052744,7.02
"vessel03","2016-12",12.4100473259635,20.4361357973609,10.8285714285714
"vessel03","2017-01",11.216677931583,17.68807883735,10.6704545454545
"vessel03","2017-02",12.7967438717819,21.579062266392,11.9923076923077
"vessel03","2017-03",12.3745418353912,19.9228044652261,9.64375
"vessel03","2017-04",12.2599042317786,17.3230569785328,7.31785714285714
"vessel03","2017-05",12.3822722088365,18.7378665625255,9.61923076923077
"vessel03","2017-06",12.0422699943888,19.8684649516792,9.63333333333333
"vessel03","2017-07",11.548709142117,14.7892377054923,6.74210526315789
"vessel03","2017-08",12.3488691897438,16.4934451964533,8.29166666666667
"vessel03","2017-09",13.969966478831,21.0418691224528,7.55
"vessel03","2017-10",12.6791109439813,19.0624025198383,8.17368421052632
"vessel03","2017-11",12.2738272771778,18.7210140190253,8.25208333333333
"vessel03","2017-12",8.24312268034821,15.4111272227671,8.22
"vessel04","2016-01",11.275695812991,15.1704323876387,7.87916666666667
"vessel04","2016-02",13.8301388408226,29.8389804431645,8.56
"vessel04","2016-03",13.8613431698514,29.5076760480545,8.54285714285714
"vessel04","2016-04",13.0053135718822,24.584956005086,9
"vessel04","2016-05",12.9911635595259,25.9812024399595,9.26153846153846
"vessel04","2016-06",12.5280385707565,20.6851735596796,9.075
"vessel04","2016-07",11.8540462763677,28.6460099906177,10.14
"vessel04","2016-08",12.7199580533268,26.3343370801966,8.778
"vessel04","2016-09",12.217884014456,27.0702089235842,10.8741379310345
"vessel04","2016-10",12.0057506531848,27.8376040785461,10.1259259259259
"vessel04","2016-11",12.6795450265908,25.6650592225061,9.2452380952381
"vessel04","2016-12",12.5100732970973,26.9160906758723,8.86818181818182
"vessel04","2017-01",13.1696407142981,27.6433285948298,7.98636363636364
